time-local,maximum_gust_kmh,air_temperature,msl_pres,minimum_air_temperature,maximum_gust_dir,wind_dir_deg,pres,rainfall,qnh_pres,maximum_gust_spd,delta_t,rel-humidity,maximum_air_temperature,apparent_temp,wind_spd,wind_dir,wind_spd_kmh,dew_point,rain_ten,rain_hour,wind_gust_spd,gust_kmh,rainfall_24hr
2018-01-01T18:00:00+11:00,35,19.4,1007.0,19.2,SSW,200,1007.0,0.0,1007.0,19,3.8,65,23.1,15.7,13,SSW,24,12.7,0.0,0.0,19,35,0.0
2018-01-01T18:10:00+11:00,35,19.6,,19.2,SSW,218,,0.0,,19,4.3,60,23.1,15.6,13,SW,24,11.8,,,17,32,0.0
2018-01-01T18:20:00+11:00,35,19.4,,19.2,SSW,217,,0.0,,19,4.1,62,23.1,15.9,12,SW,22,12.1,,,16,30,0.0
2018-01-01T18:30:00+11:00,35,19.3,1007.2,19.2,SSW,219,1007.2,0.0,1007.2,19,4.0,63,23.1,15.8,12,SW,22,12.1,0.0,0.0,18,33,0.0
2018-01-01T18:40:00+11:00,35,19.2,,19.1,SSW,201,,0.0,,19,4.1,62,23.1,15.2,13,SSW,24,11.7,,,17,32,0.0
2018-01-01T18:50:00+11:00,35,19.2,,19.0,SSW,200,,0.0,,19,3.9,64,23.1,16.3,10,SSW,19,12.2,,,14,26,0.0
2018-01-01T19:00:00+11:00,35,19.4,1007.4,19.0,SSW,194,1007.4,0.0,1007.4,19,3.8,65,23.1,17.0,9,SSW,17,12.7,0.0,0.0,15,28,0.0
2018-01-01T19:10:00+11:00,35,19.0,,18.9,SSW,213,,0.0,,19,3.5,67,23.1,16.6,9,SSW,17,12.7,,,11,20,0.0
2018-01-01T19:20:00+11:00,35,18.4,,18.4,SSW,201,,0.0,,19,3.6,66,23.1,15.8,9,SSW,17,11.9,,,11,20,0.0
2018-01-01T19:30:00+11:00,35,18.6,1007.8,18.4,SSW,196,1007.8,0.0,1007.8,19,3.5,67,23.1,16.5,8,SSW,15,12.4,0.0,0.0,11,20,0.0
2018-01-01T19:40:00+11:00,35,18.2,,18.0,SSW,196,,0.0,,19,3.3,68,23.1,16.0,8,SSW,15,12.2,,,11,20,0.0
2018-01-01T19:50:00+11:00,35,18.0,,17.9,SSW,202,,0.0,,19,3.1,70,23.1,16.3,7,SSW,13,12.4,,,8,15,0.0
2018-01-01T20:00:00+11:00,35,18.2,1008.1,17.9,SSW,197,1008.1,0.0,1008.1,19,3.1,70,23.1,16.5,7,SSW,13,12.6,0.0,0.0,11,20,0.0
2018-01-01T20:10:00+11:00,35,17.6,,17.6,SSW,195,,0.0,,19,3.0,70,23.1,15.1,9,SSW,17,12.2,,,11,20,0.0
2018-01-01T20:20:00+11:00,35,17.5,,17.4,SSW,207,,0.0,,19,2.8,72,23.1,15.8,7,SSW,13,12.4,,,9,17,0.0
2018-01-01T20:30:00+11:00,35,17.3,1008.4,17.3,SSW,200,1008.4,0.0,1008.4,19,2.8,72,23.1,15.9,6,SSW,11,12.2,0.0,0.0,10,19,0.0
2018-01-01T20:40:00+11:00,35,17.1,,17.1,SSW,194,,0.0,,19,2.6,74,23.1,15.4,7,SSW,13,12.4,,,9,17,0.0
2018-01-01T20:50:00+11:00,35,16.9,,16.8,SSW,193,,0.0,,19,2.5,75,23.1,16.3,4,SSW,7,12.4,,,5,9,0.0
2018-01-01T21:00:00+11:00,35,16.9,1008.7,16.8,SSW,208,1008.7,0.0,1008.7,19,2.6,74,23.1,15.5,6,SSW,11,12.2,0.0,0.0,9,17,0.0
2018-01-01T21:10:00+11:00,35,16.9,,16.8,SSW,201,,0.0,,19,2.5,75,23.1,15.9,5,SSW,9,12.4,,,7,13,0.0
2018-01-01T21:20:00+11:00,35,16.8,,16.8,SSW,211,,0.0,,19,2.4,76,23.1,16.3,4,SSW,7,12.5,,,7,13,0.0
2018-01-01T21:30:00+11:00,35,16.8,1009.1,16.7,SSW,207,1009.1,0.0,1009.1,19,2.4,76,23.1,15.9,5,SSW,9,12.5,0.0,0.0,8,15,0.0
2018-01-01T21:40:00+11:00,35,16.7,,16.7,SSW,190,,0.0,,19,2.4,76,23.1,15.7,5,S,9,12.4,,,6,11,0.0
