id,time-local,maximum_air_temperature,wind_spd_kmh,wind_spd_kmh,wind_dir,rel-humidity,rainfall
0,2018-01-02T06:50:00+11:00,14,4,4,W,80,0
1,2018-01-02T07:00:00+11:00,14.2,4,4,W,79,0
2,2018-01-02T07:10:00+11:00,14.9,4,4,W,77,0
3,2018-01-02T07:20:00+11:00,15.4,4,4,W,74,0
4,2018-01-02T07:30:00+11:00,15.8,4,4,W,73,0
5,2018-01-02T07:40:00+11:00,15.8,0,0,CALM,72,0
6,2018-01-02T07:50:00+11:00,16.3,2,2,WSW,72,0
7,2018-01-02T08:00:00+11:00,17.1,4,4,W,69,0
8,2018-01-02T08:10:00+11:00,17.7,4,4,W,62,0
9,2018-01-02T08:20:00+11:00,17.7,6,6,WSW,59,0
10,2018-01-02T08:30:00+11:00,17.7,6,6,WSW,61,0
11,2018-01-02T08:40:00+11:00,17.7,7,7,WSW,57,0
12,2018-01-02T08:50:00+11:00,18.1,4,4,WSW,58,0
13,2018-01-02T09:00:00+11:00,19.2,4,4,SW,55,0
14,2018-01-02T09:10:00+11:00,19.2,9,9,SSW,51,0
15,2018-01-02T09:20:00+11:00,19.2,7,7,SW,52,0
16,2018-01-02T09:30:00+11:00,19.2,11,11,SW,50,0
17,2018-01-02T09:40:00+11:00,19.2,13,13,SW,51,0
18,2018-01-02T09:50:00+11:00,19.2,13,13,S,50,0
19,2018-01-02T10:00:00+11:00,19.3,13,13,S,48,0
20,2018-01-02T10:10:00+11:00,19.5,15,15,S,47,0
21,2018-01-02T10:20:00+11:00,19.8,11,11,SSW,48,0
22,2018-01-02T10:30:00+11:00,19.9,17,17,S,46,0
23,2018-01-02T10:40:00+11:00,20.3,13,13,SSW,45,0
24,2018-01-02T10:50:00+11:00,20.7,13,13,S,47,0
25,2018-01-02T11:00:00+11:00,20.7,13,13,SSW,49,0
26,2018-01-02T11:10:00+11:00,20.7,17,17,SSE,48,0
27,2018-01-02T11:20:00+11:00,20.7,13,13,SSE,51,0
28,2018-01-02T11:30:00+11:00,20.7,13,13,S,52,0
29,2018-01-02T11:40:00+11:00,20.7,15,15,SSW,51,0
30,2018-01-02T11:50:00+11:00,20.8,17,17,S,54,0
31,2018-01-02T12:00:00+11:00,20.8,17,17,SSW,57,0
32,2018-01-02T12:10:00+11:00,20.8,11,11,SSW,57,0
33,2018-01-02T12:20:00+11:00,20.8,17,17,SSW,58,0
34,2018-01-02T12:30:00+11:00,20.8,15,15,SSW,62,0
35,2018-01-02T12:40:00+11:00,20.8,22,22,S,63,0
36,2018-01-02T12:50:00+11:00,20.8,13,13,SSW,63,0
37,2018-01-02T13:00:00+11:00,20.8,17,17,S,61,0
38,2018-01-02T13:10:00+11:00,20.8,17,17,SW,58,0
39,2018-01-02T13:20:00+11:00,20.8,19,19,SSW,59,0
40,2018-01-02T13:30:00+11:00,20.8,19,19,SSW,60,0
41,2018-01-02T13:40:00+11:00,20.8,22,22,S,59,0
42,2018-01-02T13:50:00+11:00,20.8,20,20,S,59,0
43,2018-01-02T14:00:00+11:00,20.8,20,20,SSW,59,0
44,2018-01-02T14:10:00+11:00,20.8,20,20,SSW,62,0
45,2018-01-02T14:20:00+11:00,20.8,19,19,SSW,71,0
46,2018-01-02T14:30:00+11:00,20.8,22,22,SSW,71,0
47,2018-01-02T14:40:00+11:00,20.8,26,26,SSW,70,0
48,2018-01-02T14:50:00+11:00,20.8,22,22,SSW,69,0
49,2018-01-02T15:00:00+11:00,20.8,24,24,SSW,66,0
50,2018-01-02T15:10:00+11:00,20.8,19,19,SSW,61,0
51,2018-01-02T15:20:00+11:00,20.8,22,22,SSW,58,0
52,2018-01-02T15:30:00+11:00,20.8,24,24,SSW,60,0
53,2018-01-02T15:40:00+11:00,20.8,22,22,SSW,61,0
54,2018-01-02T15:50:00+11:00,20.8,24,24,SSW,59,0
55,2018-01-02T16:00:00+11:00,20.8,22,22,SSW,61,0
56,2018-01-02T16:10:00+11:00,20.8,26,26,SSW,60,0
57,2018-01-02T16:20:00+11:00,20.8,20,20,SW,63,0
58,2018-01-02T16:30:00+11:00,20.8,20,20,SSW,59,0
59,2018-01-02T16:40:00+11:00,20.8,24,24,SW,58,0
60,2018-01-02T16:50:00+11:00,20.8,22,22,SSW,58,0
61,2018-01-02T17:00:00+11:00,20.8,22,22,SW,58,0
62,2018-01-02T17:10:00+11:00,20.8,24,24,SW,59,0
63,2018-01-02T17:20:00+11:00,20.8,24,24,SW,60,0
64,2018-01-02T17:30:00+11:00,20.8,22,22,SSW,59,0
65,2018-01-02T17:40:00+11:00,20.8,24,24,SSW,58,0
66,2018-01-02T17:50:00+11:00,20.8,22,22,SSW,59,0
67,2018-01-02T18:00:00+11:00,20.8,20,20,SSW,60,0
68,2018-01-02T18:10:00+11:00,20.8,26,26,SSW,58,0
69,2018-01-02T18:20:00+11:00,20.8,20,20,SW,62,0
70,2018-01-02T18:30:00+11:00,20.8,20,20,SW,63,0
71,2018-01-02T18:40:00+11:00,20.8,20,20,SW,62,0
72,2018-01-02T18:50:00+11:00,20.8,17,17,SW,64,0
73,2018-01-02T19:00:00+11:00,20.8,24,24,SW,62,0
74,2018-01-02T19:10:00+11:00,20.8,20,20,SW,62,0
75,2018-01-02T19:20:00+11:00,20.8,26,26,SW,60,0
76,2018-01-02T19:30:00+11:00,20.8,24,24,SSW,61,0
77,2018-01-02T19:40:00+11:00,20.8,24,24,SW,64,0
78,2018-01-02T19:50:00+11:00,20.8,19,19,SW,66,0
79,2018-01-02T20:00:00+11:00,20.8,24,24,SW,69,0
80,2018-01-02T20:10:00+11:00,20.8,20,20,SW,71,0
81,2018-01-02T20:20:00+11:00,20.8,20,20,SW,70,0
82,2018-01-02T20:30:00+11:00,20.8,19,19,SW,69,0
83,2018-01-02T20:40:00+11:00,20.8,22,22,SW,71,0
84,2018-01-02T20:50:00+11:00,20.8,24,24,SW,69,0
85,2018-01-02T21:00:00+11:00,20.8,24,24,SW,68,0
86,2018-01-02T21:10:00+11:00,20.8,26,26,SW,69,0
87,2018-01-02T21:20:00+11:00,20.8,20,20,SW,70,0
88,2018-01-02T21:30:00+11:00,20.8,19,19,SW,71,0
89,2018-01-02T21:40:00+11:00,20.8,17,17,WSW,70,0
